detector	lam_band0	lam_band1	lam_band2	lam_band3	lam_band4	lam_band5	lam_band6	lam_band7	lam_band8	lam_band9	lam_band10	lam_band11	lam_band12	lam_band13	lam_band14
24	412.9093382	442.7790424	490.1048999	510.0433571	559.9200070	619.8294483	664.8026128	681.0516230	708.5602419	753.6027547	761.7392379	778.6415752	865.1086962	885.1769586	900.2329763
25	412.9079507	442.7776549	490.1035124	510.0419696	559.9186195	619.8280608	664.8012253	681.0502356	708.5588545	753.6013672	761.7378505	778.6401877	865.1073087	885.1755711	900.2315888
26	412.9065633	442.7762675	490.1021249	510.0405822	559.9172321	619.8266734	664.7998379	681.0488481	708.5574670	753.5999797	761.7364630	778.6388002	865.1059213	885.1741836	900.2302014
27	412.9051758	442.7748800	490.1007375	510.0391947	559.9158446	619.8252859	664.7984504	681.0474606	708.5560795	753.5985923	761.7350755	778.6374128	865.1045338	885.1727962	900.2288139
28	412.9037883	442.7734925	490.0993500	510.0378072	559.9144571	619.8238984	664.7970629	681.0460732	708.5546921	753.5972048	761.7336881	778.6360253	865.1031463	885.1714087	900.2274264
29	412.9024009	442.7721050	490.0979625	510.0364198	559.9130696	619.8225110	664.7956755	681.0446857	708.5533046	753.5958173	761.7323006	778.6346378	865.1017589	885.1700212	900.2260389
30	412.9010134	442.7707176	490.0965751	510.0350323	559.9116822	619.8211235	664.7942880	681.0432982	708.5519171	753.5944299	761.7309131	778.6332504	865.1003714	885.1686338	900.2246515
31	412.8996259	442.7693301	490.0951876	510.0336448	559.9102947	619.8197360	664.7929005	681.0419107	708.5505296	753.5930424	761.7295257	778.6318629	865.0989839	885.1672463	900.2232640
32	412.8982384	442.7679426	490.0938001	510.0322574	559.9089072	619.8183486	664.7915131	681.0405233	708.5491422	753.5916549	761.7281382	778.6304754	865.0975965	885.1658588	900.2218765
33	412.8968510	442.7665552	490.0924126	510.0308699	559.9075198	619.8169611	664.7901256	681.0391358	708.5477547	753.5902674	761.7267507	778.6290880	865.0962090	885.1644713	900.2204891
34	412.8954635	442.7651677	490.0910252	510.0294824	559.9061323	619.8155736	664.7887381	681.0377483	708.5463672	753.5888800	761.7253632	778.6277005	865.0948215	885.1630839	900.2191016
35	412.8940760	442.7637802	490.0896377	510.0280949	559.9047448	619.8141861	664.7873506	681.0363609	708.5449798	753.5874925	761.7239758	778.6263130	865.0934340	885.1616964	900.2177141
36	412.8926886	442.7623928	490.0882502	510.0267075	559.9033574	619.8127987	664.7859632	681.0349734	708.5435923	753.5861050	761.7225883	778.6249255	865.0920466	885.1603089	900.2163267
37	412.8913011	442.7610053	490.0868628	510.0253200	559.9019699	619.8114112	664.7845757	681.0335859	708.5422048	753.5847176	761.7212008	778.6235381	865.0906591	885.1589215	900.2149392
38	412.8899136	442.7596178	490.0854753	510.0239325	559.9005824	619.8100237	664.7831882	681.0321985	708.5408174	753.5833301	761.7198134	778.6221506	865.0892716	885.1575340	900.2135517
39	412.8885262	442.7582303	490.0840878	510.0225451	559.8991949	619.8086363	664.7818008	681.0308110	708.5394299	753.5819426	761.7184259	778.6207631	865.0878842	885.1561465	900.2121642
40	412.8871387	442.7568429	490.0827004	510.0211576	559.8978075	619.8072488	664.7804133	681.0294235	708.5380424	753.5805552	761.7170384	778.6193757	865.0864967	885.1547591	900.2107768
41	412.8857512	442.7554554	490.0813129	510.0197701	559.8964200	619.8058613	664.7790258	681.0280360	708.5366549	753.5791677	761.7156510	778.6179882	865.0851092	885.1533716	900.2093893
42	412.8843637	442.7540679	490.0799254	510.0183827	559.8950325	619.8044739	664.7776384	681.0266486	708.5352675	753.5777802	761.7142635	778.6166007	865.0837218	885.1519841	900.2080018
43	412.8829763	442.7526805	490.0785379	510.0169952	559.8936451	619.8030864	664.7762509	681.0252611	708.5338800	753.5763927	761.7128760	778.6152133	865.0823343	885.1505966	900.2066144
44	412.8815888	442.7512930	490.0771505	510.0156077	559.8922576	619.8016989	664.7748634	681.0238736	708.5324925	753.5750053	761.7114885	778.6138258	865.0809468	885.1492092	900.2052269
45	412.8802013	442.7499055	490.0757630	510.0142202	559.8908701	619.8003114	664.7734759	681.0224862	708.5311051	753.5736178	761.7101011	778.6124383	865.0795593	885.1478217	900.2038394
46	412.8788139	442.7485181	490.0743755	510.0128328	559.8894827	619.7989240	664.7720885	681.0210987	708.5297176	753.5722303	761.7087136	778.6110508	865.0781719	885.1464342	900.2024520
47	412.8774264	442.7471306	490.0729881	510.0114453	559.8880952	619.7975365	664.7707010	681.0197112	708.5283301	753.5708429	761.7073261	778.6096634	865.0767844	885.1450468	900.2010645
