detector	E0_band0	E0_band1	E0_band2	E0_band3	E0_band4	E0_band5	E0_band6	E0_band7	E0_band8	E0_band9	E0_band10	E0_band11	E0_band12	E0_band13	E0_band14
547	1713.647058323860	1874.987359430340	1927.530374089920	1930.762941528500	1804.602883866030	1651.217791485740	1531.794233390790	1472.959175239820	1408.932788414030	1266.001353772180	1250.795650300840	1178.048758337140	957.683300062941	930.061257813347	895.475001661527
548	1713.617883924560	1874.890026258910	1927.510236761920	1930.809792611700	1804.642377335780	1651.229356104950	1531.798478037020	1472.980195298600	1408.959312270290	1266.000408340710	1250.807166786710	1178.070337540660	957.664150142395	930.067374955599	895.475676321885
549	1713.588599643020	1874.792955462310	1927.490417680290	1930.856524567120	1804.681855837490	1651.240898230740	1531.802682880940	1473.001201714900	1408.985824609570	1265.999483379430	1250.818727273720	1178.091919240750	957.644915250800	930.073531618546	895.476337176522
550	1713.559199773680	1874.696215401690	1927.470917164770	1930.903156780980	1804.721312243520	1651.252416387190	1531.806841582930	1473.022197597580	1409.012317033300	1265.998581881650	1250.830343266730	1178.113508686430	957.625595568426	930.079724095056	895.476984443059
551	1713.529690231790	1874.599724227550	1927.451733969960	1930.949666174730	1804.760753395370	1651.263912289230	1531.810963372630	1473.043178823380	1409.038801669350	1265.997701536210	1250.842001119490	1178.135100687070	957.606195151847	930.085951850550	895.477618861600
552	1713.500065649530	1874.503577853200	1927.432860973950	1930.996085665800	1804.800170742510	1651.275382650030	1531.815039435790	1473.064150809510	1409.065264419000	1265.996845183640	1250.853720032400	1178.156699137000	957.586712175787	930.092219129955	895.478241655667
553	1713.470331060960	1874.407700852610	1927.414299333070	1931.042379003960	1804.839576191940	1651.286830595230	1531.819077839450	1473.085107047740	1409.091717325670	1265.996010538050	1250.865477654510	1178.178302775360	957.567147945507	930.098526985484	895.478852554429
554	1713.952004829140	1875.159203894060	1927.144789656630	1931.056439173080	1804.971910742070	1651.434335928410	1531.916932743140	1473.462643869260	1409.645502706590	1265.953270204660	1251.150961819930	1178.782097717140	956.842081733016	930.351166137980	895.480468865085
555	1714.119739070550	1875.433160971740	1927.059475972330	1931.049870553190	1805.006431380240	1651.480733195150	1531.948609117490	1473.583394229530	1409.823674117100	1265.939202506220	1251.243183954550	1178.978095532100	956.605322697681	930.433772807145	895.480876581296
556	1714.120840059840	1875.437196630360	1927.060284187740	1931.048017173970	1805.004847577720	1651.480287220650	1531.948484510760	1473.582559560910	1409.822627189900	1265.939212473660	1251.242637310450	1178.977219948540	956.606285035719	930.433445110742	895.480869992509
