product	index	patch	flh.mean	flh.stdev	flh.cvar	flh.min	flh.max	flh.p10	flh.p50	flh.p90	flh.skewness	flh.count	mci.mean	mci.stdev	mci.cvar	mci.min	mci.max	mci.p10	mci.p50	mci.p90	mci.skewness	mci.count	red.mean	red.stdev	red.cvar	red.min	red.max	red.p10	red.p50	red.p90	red.skewness	red.count	green.mean	green.stdev	green.cvar	green.min	green.max	green.p10	green.p50	green.p90	green.skewness	green.count	blue.mean	blue.stdev	blue.cvar	blue.min	blue.max	blue.p10	blue.p50	blue.p90	blue.skewness	blue.count	coast_dist.mean	coast_dist.stdev	coast_dist.cvar	coast_dist.min	coast_dist.max	coast_dist.p10	coast_dist.p50	coast_dist.p90	coast_dist.skewness	coast_dist.count	flh_hg_pixels	valid_pixels	fractal_index	clumpiness	index	patch	flag	ab_cyano	ab_coco	ab_float	ab_case_1	ab_coastal	ab_susp_mat
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	11	x04y19	1.951601476212482E-4	1.872274481663151E-4	0.9593528722353282	-0.00295180338434875	7.129504228942096E-4	3.296680631592608E-5	1.975944187506684E-4	3.9085292030449637E-4	0.08	22796	-9.288513922815546E-4	2.475489467614076E-4	-0.26651082058815523	-0.0015674768947064877	0.004262896720319986	-0.001203078543767333	-9.411672290298156E-4	-7.13418259692844E-4	-0.06976744186046512	22796	-1.851366973829004	0.05726408684798051	-0.03093070561237609	-1.927931547164917	-1.543446660041809	-1.9129126062616706	-1.8595953660551459	-1.7717345617711544	0.24468085106382978	22796	-1.8029870848830207	0.055899561576372006	-0.03100386133936107	-1.881612777709961	-1.5217616558074951	-1.8633390879258513	-1.8113293554633856	-1.7255835803225636	0.24489795918367346	22796	-1.1191062228965	0.03332768625837475	-0.029780628126716297	-1.1889339685440063	-0.9954940676689148	-1.1571977348066866	-1.1205499410862103	-1.0733234027866274	0.12612612612612611	22796	21.455849362875657	13.682033460531079	0.6376831431434565	0.0	58.294395446777344	7.400655671954155	19.127848505973816	41.32981552183628	0.3087248322147651	22796	0.0069	0.528925	1.069162743631484	0.9203844572212809	11	x04y19	1	0	0	0	0	1	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	12	x02y20	3.293305640381929E-4	1.7928224976312163E-4	0.5443838785103773	-0.010103985667228699	0.00196351227350533	1.2510438409663038E-4	3.3722837133609573E-4	5.022136947445688E-4	-0.125	23965	-0.0013075520438828843	3.8519907536042083E-4	-0.29459559729381035	-0.004148597363382578	0.026006868109107018	-0.0015571120493405033	-0.0013215224753366783	-0.0010859329013328534	0.0	23965	-1.6785271542668652	0.041973085278732974	-0.025005901853917684	-1.775404453277588	-1.2475712299346924	-1.7403530282899737	-1.6733429511077702	-1.631075056269765	-0.22641509433962265	23965	-1.6282721081780802	0.04270775796030536	-0.02622888259634459	-1.7242006063461304	-1.2180322408676147	-1.6895992532372475	-1.6243509873747826	-1.5808521434664726	-0.2	23965	-0.9518739844149489	0.037990173039106574	-0.03991092693058158	-1.0553624629974365	-0.8411327600479126	-1.012683889362961	-0.9432266028597951	-0.9110084639396518	-0.3662551440329218	23965	15.19166018875817	8.609650417646375	0.5667353212664351	0.0	33.98758316040039	3.9829199016094208	14.272129647433758	27.681293316185474	0.13165266106442577	23965	0.01085	0.562575	1.0602998287885748	0.9329519364180103	12	x02y20	1	0	0	0	0	1	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	13	x04y20	1.0753235110893864E-4	1.3516365890376672E-4	1.2569580922380783	-0.0031948601827025414	5.260912585072219E-4	-2.62374710473523E-5	1.1184471134129126E-4	2.42659410446322E-4	-0.02702702702702703	24108	-8.515453593437459E-4	1.9255199277936304E-4	-0.2261206530768433	-0.0016419480089098215	0.005976914893835783	-0.0010913661194535962	-8.23515470528946E-4	-6.89590146066621E-4	-0.3333333333333333	24108	-1.8665180319683126	0.05343399787397142	-0.028627635500324253	-1.9309242963790894	-1.5613903999328613	-1.914324140874669	-1.887619542889297	-1.77647067559883	0.612565445026178	24108	-1.8198591574905387	0.05233672012098663	-0.028758665144810097	-1.8847376108169556	-1.5221515893936157	-1.867033215239644	-1.8415388856083155	-1.731771633028984	0.6230366492146597	24108	-1.1333343474494504	0.03438961550866575	-0.03034375123815756	-1.1758402585983276	-0.9855467081069946	-1.1639469116926193	-1.1483368938788772	-1.076605145353824	0.6425531914893617	24108	21.28140631542087	14.0498939111192	0.6601957456607747	0.0	55.16359329223633	4.094172939658165	18.208295442163944	42.01914332807064	0.2556818181818182	24108	0.0016	0.57815	1.040574178559575	0.9561121651466671	13	x04y20	0	0	0	0	0	0	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	14	x01y21	2.5804624639432985E-4	2.383487535660165E-4	0.9236668112652454	-3.208367561455816E-4	0.0017029563896358013	6.257717967628196E-5	2.0487513523903544E-4	4.262275105588742E-4	0.21739130434782608	28145	-0.001274659081708724	1.1887382697855218E-4	-0.09325931041827887	-0.00184015859849751	-8.67435010150075E-4	-0.0014259911331464536	-0.0012683035201916937	-0.0011372138178558089	-0.09210526315789473	28145	-1.6052914687680324	0.052429493013649256	-0.03266041963948506	-1.710943579673767	-1.4009820222854614	-1.6721983850002289	-1.6092374436557293	-1.532352447975427	0.09956709956709957	28145	-1.555334949251995	0.05262672294069899	-0.03383626335022478	-1.6727824211120605	-1.299850344657898	-1.6247091456316411	-1.5584262961056083	-1.4841312339995056	0.05699481865284974	28145	-0.8475438987304467	0.05455278459312037	-0.0643657333559195	-0.9677093625068665	-0.6320605874061584	-0.9198531894944608	-0.8483967119827867	-0.7743179784156382	0.018018018018018018	28145	69.80521440419611	25.525952993452346	0.3656740146323215	12.406447410583496	139.1229248046875	37.403252521529794	67.34992003068328	105.71135361678898	0.12318840579710146	28145	0.0336	0.64465	1.083229637003591	0.8767183080248404	14	x01y21	1	0	0	0	0	1	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	15	x03y21	6.623056290028709E-5	2.658079456502275E-4	4.01337289025329	-0.006020869128406048	0.0018102574395015836	-1.4752420247532427E-4	8.190333369384462E-5	2.960357007850689E-4	-0.034482758620689655	12516	-9.759375369476258E-4	6.156343200511589E-4	-0.6308132403397834	-0.0037328472826629877	0.01914500631392002	-0.001185898737730895	-0.0010518488143134164	-9.177988908959378E-4	0.0	12516	-1.7271488856092032	0.034994078642199916	-0.02026118242253142	-1.82416570186615	-1.2590535879135132	-1.7612528298050165	-1.7325557302683592	-1.6917175501585007	0.1746031746031746	12516	-1.6801266914722273	0.039555321945612266	-0.0235430590719034	-1.7765469551086426	-1.2177194356918335	-1.717608115170151	-1.6870472352020442	-1.6401144552510232	0.2112676056338028	12516	-1.0584446902366855	0.025110391748986688	-0.023723858204977716	-1.1167407035827637	-0.8724909424781799	-1.0847783325007185	-1.0652192695997655	-1.0213306406512856	0.38345864661654133	12516	8.009343964789123	5.633674774493074	0.7033877929653134	0.0	22.515161514282227	0.0	7.4757372215390205	14.995449367910624	0.002932551319648094	12516	0.00955	0.25085	1.196572984226119	0.8676543872232054	15	x03y21	1	0	0	0	0	1	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	16	x04y21	1.172575139670702E-4	2.849820957882283E-4	2.430395171675401	-0.007852955721318722	5.21636160556227E-4	-1.8132456830244337E-5	1.4543379086262576E-4	2.7628678901692183E-4	-0.1111111111111111	19271	-7.709757544888229E-4	7.227819584444752E-4	-0.937489868178408	-0.0012934741098433733	0.018609708175063133	-0.0010602336924421252	-9.047400808412931E-4	-7.10373066340253E-4	0.1111111111111111	19271	-1.7963838370288885	0.05648616397164925	-0.0314443733055815	-1.9137840270996094	-1.5988709926605225	-1.8738048332743347	-1.7864656713791192	-1.7298797355033457	-0.21367521367521367	19271	-1.7523516266478651	0.05673145915610913	-0.032374472276795685	-1.8669716119766235	-1.5576748847961426	-1.8301218065898865	-1.744340292410925	-1.6845348705537617	-0.17842323651452283	19271	-1.1067870936800202	0.030666897169134025	-0.027708036481675885	-1.1714186668395996	-1.03244948387146	-1.1505190045572817	-1.1016626511700451	-1.0699060214683414	-0.21212121212121213	19271	17.525229101120303	9.195305904090976	0.5246896260832998	0.0	45.55430603027344	7.473753333091736	17.260811269283295	29.895013332366943	0.12698412698412698	19271	0.00775	0.435025	1.096192801121903	0.9192005266251179	16	x04y21	1	0	0	0	0	1	1
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	17	x00y22	5.240248978046258E-4	2.753081594887161E-4	0.5253722879239229	-4.214935688651167E-5	0.002022034488618374	2.3200006009460594E-4	4.7792821356296145E-4	8.649626845951275E-4	0.2229299363057325	9855	-0.001848220261310449	2.575691805892075E-4	-0.1393606519639507	-0.0031072464771568775	-0.0012775070499628782	-0.002153065955553757	-0.0018278583620485733	-0.001556256415824464	-0.08982035928143713	9855	-1.5249102421426224	0.046787969240213605	-0.030682441462569442	-1.6212624311447144	-1.3230607509613037	-1.575833268929273	-1.5350635079666972	-1.4576009621378034	0.3103448275862069	9855	-1.4650896440841787	0.051597784619353444	-0.03521817578036803	-1.5726066827774048	-1.2360780239105225	-1.5219959274400026	-1.4753288673236966	-1.394483115291223	0.26804123711340205	9855	-0.7598135661074852	0.0410700532047111	-0.05405280326213763	-0.8419292569160461	-0.5726116895675659	-0.8061605175025761	-0.7667097019730136	-0.704114407999441	0.2268041237113402	9855	75.75964816483922	22.496736846846442	0.2969488031134679	31.33851432800293	134.87913513183594	46.10114190354943	74.41303040459752	108.38729660585523	0.09090909090909091	9855	0.02965	0.2199	1.1071863580998782	0.9381771902996074	17	x00y22	1	0	0	0	0	1	0
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	18	x01y22	3.8170272687632246E-4	3.263560872383777E-4	0.8550006700479299	-1.0130766895599663E-4	0.0020616669207811356	1.3949223654208254E-4	2.7045358865507296E-4	7.900744373614543E-4	0.5974025974025974	27521	-0.00147132809219043	1.868650547202107E-4	-0.12700434098421692	-0.002280036685988307	2.3280142340809107E-4	-0.0017156296887606004	-0.0014555116813426139	-0.0012542883171136054	-0.1276595744680851	27521	-1.5964041020624957	0.03718672433948892	-0.023294054614019743	-1.6935311555862427	-1.4165103435516357	-1.642130809603259	-1.5999284202698618	-1.547445961739868	0.10857142857142857	27521	-1.5452933882927125	0.04206111773713485	-0.027218855691607702	-1.6460658311843872	-1.3296229839324951	-1.596621636301279	-1.5496496511623263	-1.48846245999448	0.13142857142857142	27521	-0.8475087177402124	0.04047668918334953	-0.047759613955684274	-0.9548959136009216	-0.6549025177955627	-0.8974753026850522	-0.8529450329951942	-0.792594799073413	0.15083798882681565	27521	64.76654051753782	22.59319671548609	0.34884056698023247	8.732391357421875	126.0984878540039	32.80161036550999	64.66467171907425	95.61081044375896	-0.014598540145985401	27521	0.0886	0.642075	1.066378276200516	0.9125081004574036	18	x01y22	1	0	0	0	0	1	1
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	19	x02y22	6.325099281769983E-4	4.8764816421260443E-4	0.7709731381104005	-0.003514849580824375	0.0019961714278906584	3.385596401130897E-4	6.291798886195465E-4	0.001070492117833055	0.20588235294117646	10431	-0.0010705264406551851	0.0017723342686912806	-1.6555726242563182	-0.0022736345417797565	0.011994849890470505	-0.00196708507155563	-0.0016047993340180255	-4.418384924065322E-5	0.6231884057971014	10431	-1.594649850482188	0.05972481072007869	-0.037453244486254575	-1.693715214729309	-1.3415515422821045	-1.6668902474921197	-1.598108280217275	-1.5169455588329583	0.08256880733944955	10431	-1.5482719197116435	0.06080725206366702	-0.039274271715133875	-1.649979829788208	-1.304226040840149	-1.6249937161337584	-1.551385975908488	-1.463596927933395	0.08786610878661087	10431	-0.9105851583839228	0.028486674582112216	-0.031283921465038424	-0.9751194715499878	-0.8220143914222717	-0.949103569262661	-0.9105282658711076	-0.8734481292776763	-0.019762845849802372	10431	23.1597811760901	12.315453103155301	0.531760339595507	0.0	52.67473602294922	8.641948878765106	21.81063288450241	41.460778549313545	0.1974921630094044	10431	0.0862	0.232475	1.107752830550758	0.9384541448214524	19	x02y22	1	0	0	0	0	1	1
MER_RR__1PRACR20110507_100153_000026323102_00166_48025_0000.N1.fex	20	x02y48	8.778648348564664E-4	8.822181936433366E-5	0.10049590308371129	4.87752549815923E-4	0.001385406358167529	7.787887454924203E-4	8.664502502142568E-4	9.874231267303912E-4	0.15966386554621848	22769	-0.003073214008334386	1.850376651646621E-4	-0.060209820944083364	-0.004320069216191769	-0.0021210613194853067	-0.003302169076505379	-0.0030487677759083454	-0.0028898550958729174	-0.22916666666666666	22769	-1.6442769129729013	0.022450554572211612	-0.013653755273873148	-1.8198390007019043	-1.498949646949768	-1.6681686420924962	-1.6474863204639405	-1.618656417587772	0.16455696202531644	22769	-1.608672616447114	0.02246912538150182	-0.013967494163683059	-1.7899043560028076	-1.4624139070510864	-1.6325554293580353	-1.6120872762985528	-1.5833039360586554	0.16883116883116883	22769	-0.9411115327514471	0.02745678936610548	-0.029174851662727392	-1.1226319074630737	-0.799800455570221	-0.9681520134909078	-0.9486055779270828	-0.9013158144662157	0.41509433962264153	22769	287.84821519588075	16.790887004474513	0.05833243396367183	232.6566619873047	300.0	262.64549219608307	299.86847004294395	299.86847004294395	-1.0	22769	5.0E-4	0.452775	1.199690676093681	0.7896735863834909	20	x02y48	0	0	0	0	0	0	0
