detector	lam_band0	lam_band1	lam_band2	lam_band3	lam_band4	lam_band5	lam_band6	lam_band7	lam_band8	lam_band9	lam_band10	lam_band11	lam_band12	lam_band13	lam_band14
51	412.6533500	442.5230542	489.8489117	509.7873689	559.6640188	619.5734601	664.5466246	680.7956348	708.3042537	753.3467665	761.4832497	778.3855870	864.8527080	884.9209704	899.98
52	412.6478001	442.5175043	489.8433618	509.7818190	559.6584689	619.5679102	664.5410747	680.7900849	708.2987038	753.3412166	761.4776999	778.3800371	864.8471581	884.9154205	899.97
53	412.6422502	442.5119544	489.8378119	509.7762691	559.6529190	619.5623603	664.5355248	680.7845351	708.2931540	753.3356667	761.4721500	778.3744872	864.8416082	884.9098706	899.97
54	412.6367004	442.5064045	489.8322620	509.7707193	559.6473691	619.5568105	664.5299750	680.7789852	708.2876041	753.3301168	761.4666001	778.3689373	864.8360584	884.9043207	899.96
55	412.6311505	442.5008547	489.8267121	509.7651694	559.6418193	619.5512606	664.5244251	680.7734353	708.2820542	753.3245669	761.4610502	778.3633875	864.8305085	884.8987708	899.95
56	412.6256006	442.4953048	489.8211623	509.7596195	559.6362694	619.5457107	664.5188752	680.7678854	708.2765043	753.3190171	761.4555003	778.3578376	864.8249586	884.8932210	899.95
57	412.6200507	442.4897549	489.8156124	509.7540696	559.6307195	619.5401608	664.5133253	680.7623355	708.2709544	753.3134672	761.4499505	778.3522877	864.8194087	884.8876711	899.94
58	412.6145008	442.4842050	489.8100625	509.7485197	559.6251696	619.5346109	664.5077754	680.7567857	708.2654046	753.3079173	761.4444006	778.3467378	864.8138588	884.8821212	899.94
59	412.6089510	442.4786551	489.8045126	509.7429699	559.6196197	619.5290611	664.5022256	680.7512358	708.2598547	753.3023674	761.4388507	778.3411879	864.8083090	884.8765713	899.93
60	412.6034011	442.4731053	489.7989627	509.7374200	559.6140699	619.5235112	664.4966757	680.7456859	708.2543048	753.2968175	761.4333008	778.3356381	864.8027591	884.8710214	899.93
61	412.5978512	442.4675554	489.7934129	509.7318701	559.6085200	619.5179613	664.4911258	680.7401360	708.2487549	753.2912677	761.4277509	778.3300882	864.7972092	884.8654716	899.92
62	412.5923013	442.4620055	489.7878630	509.7263202	559.6029701	619.5124114	664.4855759	680.7345861	708.2432050	753.2857178	761.4222011	778.3245383	864.7916593	884.8599217	899.92
63	412.5867514	442.4564556	489.7823131	509.7207703	559.5974202	619.5068615	664.4800260	680.7290363	708.2376552	753.2801679	761.4166512	778.3189884	864.7861094	884.8543718	899.91
64	412.5812016	442.4509057	489.7767632	509.7152205	559.5918703	619.5013117	664.4744762	680.7234864	708.2321053	753.2746180	761.4111013	778.3134385	864.7805596	884.8488219	899.90
65	412.5756517	442.4453559	489.7712133	509.7096706	559.5863205	619.4957618	664.4689263	680.7179365	708.2265554	753.2690681	761.4055514	778.3078887	864.7750097	884.8432720	899.90
66	412.5701018	442.4398060	489.7656635	509.7041207	559.5807706	619.4902119	664.4633764	680.7123866	708.2210055	753.2635183	761.4000015	778.3023388	864.7694598	884.8377222	899.89
67	412.5645519	442.4342561	489.7601136	509.6985708	559.5752207	619.4846620	664.4578265	680.7068367	708.2154556	753.2579684	761.3944517	778.2967889	864.7639099	884.8321723	899.89
68	412.5590020	442.4287062	489.7545637	509.6930209	559.5696708	619.4791121	664.4522766	680.7012869	708.2099058	753.2524185	761.3889018	778.2912390	864.7583600	884.8266224	899.88
69	412.5534522	442.4231563	489.7490138	509.6874711	559.5641209	619.4735623	664.4467268	680.6957370	708.2043559	753.2468686	761.3833519	778.2856891	864.7528102	884.8210725	899.88
70	412.5479023	442.4176065	489.7434639	509.6819212	559.5585711	619.4680124	664.4411769	680.6901871	708.1988060	753.2413187	761.3778020	778.2801393	864.7472603	884.8155226	899.87
71	412.5423524	442.4120566	489.7379141	509.6763713	559.5530212	619.4624625	664.4356270	680.6846372	708.1932561	753.2357689	761.3722521	778.2745894	864.7417104	884.8099728	899.87
72	412.5368025	442.4065067	489.7323642	509.6708214	559.5474713	619.4569126	664.4300771	680.6790873	708.1877062	753.2302190	761.3667023	778.2690395	864.7361605	884.8044229	899.86
73	412.5312526	442.4009568	489.7268143	509.6652715	559.5419214	619.4513627	664.4245272	680.6735375	708.1821564	753.2246691	761.3611524	778.2634896	864.7306106	884.7988730	899.85
74	412.5257028	442.3954069	489.7212644	509.6597217	559.5363715	619.4458129	664.4189774	680.6679876	708.1766065	753.2191192	761.3556025	778.2579397	864.7250608	884.7933231	899.85
75	412.5201529	442.3898571	489.7157145	509.6541718	559.5308217	619.4402630	664.4134275	680.6624377	708.1710566	753.2135693	761.3500526	778.2523899	864.7195109	884.7877732	899.84
76	412.5146030	442.3843072	489.7101647	509.6486219	559.5252718	619.4347131	664.4078776	680.6568878	708.1655067	753.2080195	761.3445027	778.2468400	864.7139610	884.7822234	899.84
77	412.5090531	442.3787573	489.7046148	509.6430720	559.5197219	619.4291632	664.4023277	680.6513379	708.1599568	753.2024696	761.3389529	778.2412901	864.7084111	884.7766735	899.83
78	412.5035032	442.3732074	489.6990649	509.6375221	559.5141720	619.4236133	664.3967778	680.6457881	708.1544070	753.1969197	761.3334030	778.2357402	864.7028612	884.7711236	899.83
79	412.4979534	442.3676575	489.6935150	509.6319723	559.5086221	619.4180635	664.3912280	680.6402382	708.1488571	753.1913698	761.3278531	778.2301903	864.6973114	884.7655737	899.82
80	412.4924035	442.3621077	489.6879651	509.6264224	559.5030723	619.4125136	664.3856781	680.6346883	708.1433072	753.1858199	761.3223032	778.2246405	864.6917615	884.7600238	899.82
81	412.4868536	442.3565578	489.6824153	509.6208725	559.4975224	619.4069637	664.3801282	680.6291384	708.1377573	753.1802701	761.3167533	778.2190906	864.6862116	884.7544740	899.81
82	412.4813037	442.3510079	489.6768654	509.6153226	559.4919725	619.4014138	664.3745783	680.6235885	708.1322074	753.1747202	761.3112035	778.2135407	864.6806617	884.7489241	899.80
83	412.4757538	442.3454580	489.6713155	509.6097727	559.4864226	619.3958639	664.3690284	680.6180387	708.1266576	753.1691703	761.3056536	778.2079908	864.6751118	884.7433742	899.80
84	412.4702040	442.3399081	489.6657656	509.6042229	559.4808727	619.3903141	664.3634786	680.6124888	708.1211077	753.1636204	761.3001037	778.2024409	864.6695620	884.7378243	899.79
85	412.4646541	442.3343583	489.6602157	509.5986730	559.4753229	619.3847642	664.3579287	680.6069389	708.1155578	753.1580705	761.2945538	778.1968911	864.6640121	884.7322744	899.79
86	412.4591042	442.3288084	489.6546659	509.5931231	559.4697730	619.3792143	664.3523788	680.6013890	708.1100079	753.1525207	761.2890039	778.1913412	864.6584622	884.7267246	899.78
87	412.4535543	442.3232585	489.6491160	509.5875732	559.4642231	619.3736644	664.3468289	680.5958391	708.1044580	753.1469708	761.2834541	778.1857913	864.6529123	884.7211747	899.78
88	412.4480044	442.3177086	489.6435661	509.5820233	559.4586732	619.3681145	664.3412790	680.5902893	708.0989082	753.1414209	761.2779042	778.1802414	864.6473624	884.7156248	899.77
89	412.4424546	442.3121587	489.6380162	509.5764735	559.4531233	619.3625647	664.3357292	680.5847394	708.0933583	753.1358710	761.2723543	778.1746915	864.6418126	884.7100749	899.77
90	412.4369047	442.3066089	489.6324663	509.5709236	559.4475735	619.3570148	664.3301793	680.5791895	708.0878084	753.1303211	761.2668044	778.1691417	864.6362627	884.7045250	899.76
91	412.4313548	442.3010590	489.6269165	509.5653737	559.4420236	619.3514649	664.3246294	680.5736396	708.0822585	753.1247713	761.2612545	778.1635918	864.6307128	884.6989752	899.75
92	412.4258049	442.2955091	489.6213666	509.5598238	559.4364737	619.3459150	664.3190795	680.5680897	708.0767086	753.1192214	761.2557047	778.1580419	864.6251629	884.6934253	899.75
93	412.4202550	442.2899592	489.6158167	509.5542739	559.4309238	619.3403651	664.3135296	680.5625399	708.0711588	753.1136715	761.2501548	778.1524920	864.6196130	884.6878754	899.74
94	412.4147052	442.2844093	489.6102668	509.5487241	559.4253739	619.3348153	664.3079798	680.5569900	708.0656089	753.1081216	761.2446049	778.1469421	864.6140632	884.6823255	899.74
95	412.4091553	442.2788595	489.6047169	509.5431742	559.4198241	619.3292654	664.3024299	680.5514401	708.0600590	753.1025717	761.2390550	778.1413923	864.6085133	884.6767756	899.73
96	412.4036054	442.2733096	489.5991671	509.5376243	559.4142742	619.3237155	664.2968800	680.5458902	708.0545091	753.0970219	761.2335051	778.1358424	864.6029634	884.6712258	899.73
97	412.3980555	442.2677597	489.5936172	509.5320744	559.4087243	619.3181656	664.2913301	680.5403403	708.0489592	753.0914720	761.2279553	778.1302925	864.5974135	884.6656759	899.72
98	412.3925056	442.2622098	489.5880673	509.5265245	559.4031744	619.3126157	664.2857802	680.5347905	708.0434094	753.0859221	761.2224054	778.1247426	864.5918636	884.6601260	899.72
99	412.3869558	442.2566599	489.5825174	509.5209747	559.3976245	619.3070659	664.2802304	680.5292406	708.0378595	753.0803722	761.2168555	778.1191927	864.5863138	884.6545761	899.71
100	412.3814059	442.2511101	489.5769675	509.5154248	559.3920747	619.3015160	664.2746805	680.5236907	708.0323096	753.0748223	761.2113056	778.1136429	864.5807639	884.6490262	899.71
101	412.3758560	442.2455602	489.5714177	509.5098749	559.3865248	619.2959661	664.2691306	680.5181408	708.0267597	753.0692725	761.2057557	778.1080930	864.5752140	884.6434764	899.70
102	412.3703061	442.2400103	489.5658678	509.5043250	559.3809749	619.2904162	664.2635807	680.5125909	708.0212098	753.0637226	761.2002059	778.1025431	864.5696641	884.6379265	899.69
103	412.3647562	442.2344604	489.5603179	509.4987751	559.3754250	619.2848663	664.2580308	680.5070411	708.0156600	753.0581727	761.1946560	778.0969932	864.5641142	884.6323766	899.69
104	412.3592064	442.2289105	489.5547680	509.4932253	559.3698751	619.2793165	664.2524810	680.5014912	708.0101101	753.0526228	761.1891061	778.0914433	864.5585644	884.6268267	899.68
105	412.3536565	442.2233607	489.5492181	509.4876754	559.3643253	619.2737666	664.2469311	680.4959413	708.0045602	753.0470729	761.1835562	778.0858935	864.5530145	884.6212768	899.68
106	412.3481066	442.2178108	489.5436683	509.4821255	559.3587754	619.2682167	664.2413812	680.4903914	707.9990103	753.0415231	761.1780063	778.0803436	864.5474646	884.6157270	899.67
107	412.3425567	442.2122609	489.5381184	509.4765756	559.3532255	619.2626668	664.2358313	680.4848415	707.9934604	753.0359732	761.1724565	778.0747937	864.5419147	884.6101771	899.67
108	412.3370068	442.2067110	489.5325685	509.4710257	559.3476756	619.2571169	664.2302814	680.4792917	707.9879106	753.0304233	761.1669066	778.0692438	864.5363648	884.6046272	899.66
109	412.3314570	442.2011611	489.5270186	509.4654759	559.3421257	619.2515671	664.2247316	680.4737418	707.9823607	753.0248734	761.1613567	778.0636939	864.5308150	884.5990773	899.66
110	412.3259071	442.1956113	489.5214687	509.4599260	559.3365759	619.2460172	664.2191817	680.4681919	707.9768108	753.0193235	761.1558068	778.0581441	864.5252651	884.5935274	899.65
111	412.3203572	442.1900614	489.5159189	509.4543761	559.3310260	619.2404673	664.2136318	680.4626420	707.9712609	753.0137737	761.1502569	778.0525942	864.5197152	884.5879776	899.64
112	412.3148073	442.1845115	489.5103690	509.4488262	559.3254761	619.2349174	664.2080819	680.4570921	707.9657110	753.0082238	761.1447071	778.0470443	864.5141653	884.5824277	899.64
113	412.3092574	442.1789616	489.5048191	509.4432763	559.3199262	619.2293675	664.2025320	680.4515423	707.9601612	753.0026739	761.1391572	778.0414944	864.5086154	884.5768778	899.63
114	412.3037076	442.1734117	489.4992692	509.4377265	559.3143763	619.2238177	664.1969822	680.4459924	707.9546113	752.9971240	761.1336073	778.0359445	864.5030656	884.5713279	899.63
115	412.2981577	442.1678619	489.4937193	509.4321766	559.3088265	619.2182678	664.1914323	680.4404425	707.9490614	752.9915741	761.1280574	778.0303947	864.4975157	884.5657780	899.62
116	412.2926078	442.1623120	489.4881695	509.4266267	559.3032766	619.2127179	664.1858824	680.4348926	707.9435115	752.9860243	761.1225075	778.0248448	864.4919658	884.5602282	899.62
117	412.2870579	442.1567621	489.4826196	509.4210768	559.2977267	619.2071680	664.1803325	680.4293427	707.9379616	752.9804744	761.1169577	778.0192949	864.4864159	884.5546783	899.61
118	412.2815080	442.1512122	489.4770697	509.4155269	559.2921768	619.2016181	664.1747826	680.4237929	707.9324118	752.9749245	761.1114078	778.0137450	864.4808660	884.5491284	899.61
119	412.2759582	442.1456623	489.4715198	509.4099771	559.2866269	619.1960683	664.1692328	680.4182430	707.9268619	752.9693746	761.1058579	778.0081951	864.4753162	884.5435785	899.60
120	412.2704083	442.1401125	489.4659699	509.4044272	559.2810771	619.1905184	664.1636829	680.4126931	707.9213120	752.9638247	761.1003080	778.0026453	864.4697663	884.5380286	899.59
121	412.2648584	442.1345626	489.4604201	509.3988773	559.2755272	619.1849685	664.1581330	680.4071432	707.9157621	752.9582749	761.0947581	777.9970954	864.4642164	884.5324788	899.59
122	412.2593085	442.1290127	489.4548702	509.3933274	559.2699773	619.1794186	664.1525831	680.4015933	707.9102122	752.9527250	761.0892083	777.9915455	864.4586665	884.5269289	899.58
123	412.2537586	442.1234628	489.4493203	509.3877775	559.2644274	619.1738687	664.1470332	680.3960435	707.9046624	752.9471751	761.0836584	777.9859956	864.4531166	884.5213790	899.58
