detector	E0_band0	E0_band1	E0_band2	E0_band3	E0_band4	E0_band5	E0_band6	E0_band7	E0_band8	E0_band9	E0_band10	E0_band11	E0_band12	E0_band13	E0_band14
2641	1714.233362029210	1875.856106631180	1927.146506088110	1930.855916010250	1804.841328542690	1651.434014654160	1531.935296571920	1473.496333055970	1409.714536274700	1265.940510774250	1251.186653054250	1178.886960856370	956.705104559461	930.399906836853	895.480323006752
2642	1714.233632355010	1875.857128420570	1927.146722154300	1930.855448157810	1804.840931758190	1651.433901818980	1531.935263703040	1473.496123697210	1409.714273967770	1265.940514601320	1251.186518338750	1178.886742186480	956.705343061691	930.399826165811	895.480322044337
2643	1714.233902669010	1875.858150240880	1927.146938254340	1930.854980294460	1804.840534971680	1651.433788980560	1531.935230830010	1473.495914336810	1409.714011659470	1265.940518431540	1251.186383627960	1178.886523517130	956.705581558682	930.399745497789	895.480321083488
2644	1714.234172971190	1875.859172092110	1927.147154388220	1930.854512420220	1804.840138183180	1651.433676138910	1531.935197952850	1473.495704974770	1409.713749349780	1265.940522264910	1251.186248921880	1178.886304848330	956.705820050436	930.399664832788	895.480320124207
2645	1714.234443261570	1875.860193974280	1927.147370555950	1930.854044535060	1804.839741392690	1651.433563294020	1531.935165071550	1473.495495611100	1409.713487038720	1265.940526101440	1251.186114220500	1178.886086180060	956.706058536945	930.399584170804	895.480319166487
2646	1714.234713540150	1875.861215887360	1927.147586757520	1930.853576639000	1804.839344600200	1651.433450445890	1531.935132186110	1473.495286245780	1409.713224726270	1265.940529941120	1251.185979523840	1178.885867512350	956.706297018212	930.399503511847	895.480318210332
2647	1714.234983806910	1875.862237831360	1927.147802992940	1930.853108732030	1804.838947805720	1651.433337594530	1531.935099296530	1473.495076878840	1409.712962412450	1265.940533783960	1251.185844831880	1178.885648845170	956.706535494237	930.399422855906	895.480317255745
2648	1714.235254061870	1875.863259806290	1927.148019262210	1930.852640814160	1804.838551009240	1651.433224739940	1531.935066402820	1473.494867510260	1409.712700097240	1265.940537629950	1251.185710144630	1178.885430178540	956.706773965012	930.399342202988	895.480316302721
2649	1714.235524305030	1875.864281812130	1927.148235565330	1930.852172885390	1804.838154210770	1651.433111882110	1531.935033504970	1473.494658140040	1409.712437780660	1265.940541479080	1251.185575462100	1178.885211512450	956.707012430550	930.399261553089	895.480315351258
2650	1714.235794536380	1875.865303848900	1927.148451902280	1930.851704945700	1804.837757410300	1651.432999021040	1531.935000602980	1473.494448768190	1409.712175462690	1265.940545331380	1251.185440784270	1178.884992846910	956.707250890831	930.399180906212	895.480314401360
2651	1714.236064755920	1875.866325916580	1927.148668273090	1930.851236995110	1804.837360607850	1651.432886156740	1531.934967696850	1473.494239394700	1409.711913143350	1265.940549186820	1251.185306111150	1178.884774181900	956.707489345872	930.399100262355	895.480313453023
